market_constraint,dayzer_constraint,pano_constraint,dayzer_score,dayzer_confidence,dayzer_status,dayzer_id,pano_score,pano_confidence,pano_status,pano_id,pano_latest,pano_stale,overall_score,overall_confidence,market_id
MALISZEW765 KV  1 : 765/345.VASSELL.T1,MALISZEW_765 KV_1:765/345.Vassell.T1,MALISZEW 765KV - MALISZEW 138KV (MALISZEW 765 KV 1) : 765/345.Vassell.T1,100.0,high,matched,551778,100.0,high,matched,2403,2024-09-22,True,100.0,high,10002891212_10016031277
AEP-DOM CONTINGENCY 52 : L500.FRONTROYAL-WARRENCO.592 + FRONTROYAL.CC,AEP-DOM for l/o Front Royal-Warren County:L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC,AEP-DOM contingency 52 : L500.FrontRoyal-WarrenCo.592 + FrontRoyal.CC,88.53,medium,matched,5109878,100.0,high,matched,836,2025-12-15,True,88.53,medium,10016902877_10016902377
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT : L500.KEYSTONE-SOUTHBEND.5001(513),ALLDAM6_138 KV_ALL-KIT:L500.Keystone-SouthBend.5001(513),ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT) : L500.Keystone-SouthBend.5001(513),85.56,medium,matched,551199,92.5,high,matched,314,2026-04-02,False,85.56,medium,10000566694_10002685396
PRESTON-TANYARD 6716-5 B 69 KV : 230/138.PINEYGROVE.AT20,PRESTON_69 KV_PRE-TOD:230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) : 230/138.PineyGrove.AT20+L230.PinyGrve-IndinR.23002,84.71,medium,matched,532854,89.6,medium,matched,7427,2018-09-19,True,84.71,medium,10002885534_10001982084
NORTHEAS230 KV  NOR-RAP5 : L500.BRIGHTON-CONASTONE.5011,NORTHEAS_230 KV_NOR-RAP5:L500.Brighton-Conastone,RAPHAERD 230KV - NORTHEAS 230KV (NORTHEAS 230 KV NOR-RAP5) : L500.Brighton-Conastone,100.0,high,matched,533466,100.0,high,matched,6795,2019-05-07,True,100.0,high,10004190411_10016032646
11 FISK 138 KV  TR72 12 : 11 FISK TR75 (SERIES DEV),11 FISK_138 KV_TR72 12:11 FISK TR75 (SERIES DEV),11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR72 12) : 11 FISK TR75 (SERIES DEV),100.0,high,matched,531847,100.0,high,matched,1654,2025-06-17,True,100.0,high,10003623635_10002892756
CONASTON 230 KV CONASTON-OTTCRKPL : L500.HUNTERSTOWN-CONASTONE.5013,OTTCRKPL_230 KV_OTT-YOR:L500.Hunterstown-Conastone.5013,CONASTON-OTTCRKPL 2302      A  230 KV : L500.Hunterstown-Conastone.5013,87.55,medium,matched,550453,100.0,high,matched,9070,2017-08-15,True,87.55,medium,10000565662_10002561209
BROADFO2 138 KV BROADFO2-SALTVILL 2 : L138.BROADFORD-SALTVILLE.1,BROADFO2_138 KV_BRO-SAL2:L138.Broadford-Saltville.1,BROADFO2-SALTVILL 2         A  138 KV : L138.Broadford-Saltville #1,87.0,medium,matched,531936,100.0,high,matched,13864,2014-06-24,True,87.0,medium,10000568465_10002911355
BELLEFON138 KV  BEL-NPR1 : ACTUAL,BELLEFON_138 KV_BEL-NPR1:ACTUAL,NPROCTO2 138KV - BELLEFON 138KV (BELLEFON 138 KV BEL-NPR1) : BASE,100.0,high,matched,520313,100.0,high,matched,5663,2020-09-11,True,100.0,high,10004218110_10000680485
MOUN_UGI_69KVMOU-PLY2_1_LN : 230/69.MOUNTAIN.T3(UGI),MOUN UGI_69 KV_MOU-PLY2:230/69.Mountain.T3(UGI) w/ 23030 closed,PLYM UGI 69KV - MOUN UGI 69KV (MOUN UGI 69 KV MOU-PLY2) : 230/69.Mountain.T3(UGI),100.0,high,matched,529640,93.63,high,matched,48,2026-04-27,False,93.63,high,10019383426_10004177119
MITTAL 2-ROXANA 138 KV L/O MARKTOWN-CHICAGO 138 KV : MARKTOWN - CHICAGO 138 KV,MITCHYRD_138 KV_MIT-ROXA:Marktown - Chicago 138 kV,Mittal 2-Roxana 138 kV l/o Marktown-Chicago 138 kV : Marktown - Chicago 138 kV,69.93,review,review,553367,100.0,high,matched,2971,2024-03-01,True,69.93,review,10017403424_10017141417
PLEASNTV TX3 XFORMER L 230 KV : L230.STONEWATER-BRAMBLETON.206B,PLEASNTV_500 KV_TX3:L230.Belmont-Stonewater.2178A,PLEASNTV 500KV - PLEASNTV 230KV (PLEASNTV 500 KV TX3) : L230.Stonewater-Brambleton.206B,83.02,medium,matched,552824,96.75,high,matched,4282,2022-08-30,True,83.02,medium,10002504375_10016749025
HAVILAND_69KVHAV-PAU_1_LN : 138/69.EASTLIMA.T3,HAVILAND_69 KV_HAV-PAU:138/69.EastLima.T3,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU) : 138/69.EastLima.T3,100.0,high,matched,554575,93.37,high,matched,249,2026-04-14,False,93.37,high,10019556776_10019388639
BED-BLA CONTINGENCY 33 : L500.CLOVERDALE-LEXINGTON.566,BEDINGTO_500 KV_BED-BLA_CES:L500.Conemaugh-Hunterstown.5006,TRANSFER INTERFACE: BED-BLA : L500.Cloverdale-Lexington.566,73.36,low,matched,530298,88.53,medium,matched,664,2026-02-01,False,73.36,low,10017289652_10002507251
LINE 138 KV BECKJORD-PIERC_DK 1889 : ACTUAL,BECKJORD_138 KV_PIE-BEC5:ACTUAL,PIERC_DK 138KV - BECKJORD 138KV (BECKJORD 138 KV PIE-BEC5) : BASE,85.0,medium,matched,512989,93.87,high,matched,6984,2019-03-01,True,85.0,medium,10001844047_10000680485
FRDRKSBG115 KV  FRE-TRIA : L500.LADYSMITH-POSSUM POINT.568,FRDRKSBG_115 KV_FRE-TRIA:L500.Ladysmith-Possum Point.568,FRDRKSBG 115KV - TRIAGLTP 115KV (FRDRKSBG 115 KV FRE-TRIA) : L500.Ladysmith-Possum Point.568,100.0,high,matched,552604,100.0,high,matched,3145,2023-11-30,True,100.0,high,10017124084_10002236876
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL : L345.ASHTABULA-PERRY,ALLLUD4J_138 KV_ALJ-ALL:L345.Ashtabula-Perry,ALLLUD4J 138KV - ALLDAM6 138KV (ALLLUD4J 138 KV ALJ-ALL) : L345.ErieWest-Ashtabula-Perry,100.0,high,matched,552081,100.0,high,matched,5291,2021-03-05,True,100.0,high,10002494587_10016893649
LENOX   115 KV  LEN-MAC : L230.ETOWANDA-HILLSIDE.2002 [NYISO],LENOX_115 KV_LEN-NME:L230.ETowanda-Hillside.2002 [NYISO] + SPS.ESayre,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC) : L230.ETowanda-Hillside.2002 [NYISO],93.5,high,matched,529457,100.0,high,matched,408,2026-03-18,False,93.5,high,10016047318_10001865201
MUSEVILL138 KV  MUS-SMIT : L765.CLOVERDALE-JOSHUAFALLS,MUSEVILL_138 KV_MUS-SMIT:L765.Cloverdale-JoshuaFalls,MUSEVILL 138KV - SMITHMOU 138KV (MUSEVILL 138 KV MUS-SMIT) : L765.Cloverdale-JoshuaFalls,100.0,high,matched,552277,100.0,high,matched,1881,2025-04-08,True,100.0,high,10017084231_10003894000
